what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1330975012223
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1330975012223
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1330975012224
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1330975012224
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1330975012225
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1330975012225
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1330975012226
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1330975012226
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1330975012227
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1330975012259
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1330975012259
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1330975012274
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1330975012274
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1330975012274
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1330975012275
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1330975012275
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1330975012276
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1330975012276
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1330975012277
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1330975012277
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1330975012312
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1330975012354
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1330975012405
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1330975012405
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1330975012406
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1330975012406
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1330975012408
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1330975012408
started,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1330975012433
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1330975012434
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1330975012436
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1330975012440
os,sysinfo,,,"linux",1330975012443
arch,sysinfo,,,"x86",1330975012443
ws,sysinfo,,,"gtk",1330975012443
locale,sysinfo,,,"pt_BR",1330975012443
processors,sysinfo,,,"4",1330975012443
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1330975012443
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1330975012443
java.specification.name,sysinfo,,,"Java Platform API Specification",1330975012443
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330975012443
java.specification.version,sysinfo,,,"1.6",1330975012443
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1330975012443
java.version,sysinfo,,,"1.6.0_26",1330975012443
java.vm.info,sysinfo,,,"mixed mode, sharing",1330975012443
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1330975012443
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1330975012443
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330975012443
java.vm.specification.version,sysinfo,,,"1.0",1330975012443
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1330975012443
java.vm.version,sysinfo,,,"20.1-b02",1330975012443
